question,answer,category,keywords,times_asked,created_at
"When does registration start?","Registration starts on September 1, 2024 for first semester and February 1, 2025 for second semester.",Registration,"registration,start,date,begin,semester",0,2024-01-01
"What is the registration deadline?","Regular registration deadline is October 15, 2024. Late registration until October 22 with 500 ETB late fee.",Registration,"deadline,last date,registration,end",0,2024-01-01
"What is the minimum GPA for admission?","The minimum GPA for undergraduate admission is 2.0. Competitive programs require 2.5.",Admissions,"gpa,minimum,requirement,admission",0,2024-01-01
"What documents are needed for admission?","Required documents: Application form, transcripts, EUEE score card, birth certificate, 4 photos, 2 recommendation letters, personal statement.",Admissions,"documents,required,application",0,2024-01-01
"Where is the admissions office?","The admissions office is located in the main administration building, on the second floor.",Admissions,"admissions,office,location,where",0,2024-01-01
"Where is the registration building?","The registration building is located in the main administration building, on the second floor.",Registration,"registration,building,location,where",0,2024-01-01
"How can I pay my fees?","You can pay through: 1) University portal, 2) Bank transfer to CBE account, 3) In-person at finance office, 4) CBE Birr or Amole.",Fees,"payment,fees,tuition,pay",0,2024-01-01
"How much is tuition for Computer Science?","Computer Science tuition is 15,000 ETB per year for regular students.",Fees,"tuition,computer science,fee,cost",0,2024-01-01
"How much is tuition for Engineering?","Engineering tuition is 16,000 ETB per year for regular students.",Fees,"tuition,engineering,fee,cost",0,2024-01-01
"What is the late payment penalty?","Late payment penalty is 100 ETB per week, up to 1000 ETB maximum.",Fees,"late,penalty,payment",0,2024-01-01
"How to apply for scholarship?","Submit scholarship application to registrar's office by January 30. Merit-based and need-based available.",Fees,"scholarship,financial aid,grant",0,2024-01-01
"How much is tuition for information technology?","Information Technology tuition is 15,000 ETB per year for regular students.",Fees,"tuition,information technology,fee,cost",0,2024-01-01
"How much is tuition for business?","Business tuition is 14,000 ETB per year for regular students.",Fees,"tuition,business,fee,cost",0,2024-01-01
"How much is tuition for accounting?","Accounting tuition is 14,000 ETB per year for regular students.",Fees,"tuition,accounting,fee,cost",0,2024-01-01
"How much is tuition for natural sciences?","Natural Sciences tuition is 13,000 ETB per year for regular students.",Fees,"tuition,natural sciences,fee,cost",0,2024-01-01
"How much is tuition for social sciences?","Social Sciences tuition is 12,000 ETB per year for regular students.",Fees,"tuition,social sciences,fee,cost",0,2024-01-01
"How much is tuition for distance learning?","Distance learning tuition is 10,000 ETB per year for regular students.",Fees,"tuition,distance learning,fee,cost",0,2024-01-01
"How much is tuition for postgraduate programs?","Postgraduate tuition is 20,000 ETB per year for regular students.",Fees,"tuition,postgraduate,fee,cost",0,2024-01-01
"How much is tuition for first-year students?","First-year tuition is 12,000 ETB per year for regular students.",Fees,"tuition,first-year,fee,cost",0,2024-01-01
"How much is tuition for regular students?","Regular student tuition is 15,000 ETB per year for Computer Science, 16,000 ETB for Engineering, 14,000 ETB for Business and Accounting, 13,000 ETB for Natural Sciences, and 12,000 ETB for Social Sciences.",Fees,"tuition,regular students,fee,cost",0,2024-01-01
"How much is tuition for postgraduate students?","Postgraduate tuition is 20,000 ETB per year for regular students.",Fees,"tuition,postgraduate,fee,cost",0,2024-01-01
"Where is the library?","The library is located near the student cafeteria, next to the Administration Building.",Facilities,"library,location,books,study",0,2024-01-01
"What are library hours?","Monday-Saturday: 8 AM-6 PM, Sunday: 2 PM-6 PM. Exam weeks: 24/7.",Facilities,"library,hours,open,closed",0,2024-01-01
"Is there a medical center?","Yes, medical center is in the commercial area, open 24/7 for emergencies.",Facilities,"medical,clinic,health,hospital",0,2024-01-01
"Where is the student cafeteria?","The student cafeteria is located in the central campus area, near the library.",Facilities,"cafeteria,food,dining,location",0,2024-01-01
"What are cafeteria hours?","Monday-Friday: 7 AM-7 PM, Saturday-Sunday: 8 AM-5 PM.",Facilities,"cafeteria,hours,open,closed",0,2024-01-01
"Is there a gym?","Yes, the gym is located near biology laboratory, open from 6 AM to 10 PM daily.",Facilities,"gym,fitness,exercise,sports",0,2024-01-01
"Where is the sports field?","The sports field is located on the west side of campus, next to the women's dormitory.",Facilities,"sports field,location,athletics",0,2024-01-01
"Where is the computer lab?","The computer lab is located in the seminar building, first floor.",Facilities,"computer lab,location,computers",0,2024-01-01
"Where is the bookstore?","The bookstore is located in the commercial area, next to the medical center.",Facilities,"bookstore,location,textbooks,supplies",0,2024-01-01
"Where is the student center?","The student center is located in the central campus area, near the library.",Facilities,"student center,location,activities,events",0,2024-01-01
"Where is the parking lot?","The parking lot is located on the north side of campus, near the engineering building.",Facilities,"parking lot,location,parking",0,2024-01-01
"Where is the science lab?","The science lab is located in the natural sciences building, second floor.",Facilities,"science lab,location,laboratory",0,2024-01-01
"Where is the engineering workshop?","The engineering workshop is located in the engineering building, first floor.",Facilities,"engineering workshop,location,workshop",0,2024-01-01
"Where is the art studio?","The art studio is located in the social sciences building, third floor.",Facilities,"art studio,location,studio",0,2024-01-01
"How to apply for dormitory?","Apply online through student portal during registration. Priority to first-year and distance students.",Dormitory,"dormitory,hostel,accommodation,room,apply",0,2024-01-01
"What are dormitory fees?","Shared room (4-person): 8,000 ETB/semester, Shared (2-person): 12,000 ETB, Single: 18,000 ETB.",Dormitory,"dorm,fee,cost,price",0,2024-01-01
"What is the dormitory address?","Dormitory is located under student building, near the sports field.",Dormitory,"dormitory,address,location,where",0,2024-01-01
"What are dormitory rules?","No smoking, no alcohol, no noise, quiet hours 10 PM-6 AM, guests allowed only with permission.",Dormitory,"dormitory,rules,regulations",0,2024-01-01
"How to contact dormitory office?","Under student building, Phone: 0961806188",Dormitory,"contact,dormitory,phone,email",0,2024-01-01
"What is the dormitory check-in time?","Check-in time is from 8 AM to 8 PM on move-in day. Early check-in available with prior approval.",Dormitory,"dormitory,check-in,time",0,2024-01-01
